symbol,earnings_date,expected_move,actual_move,abs_actual_move,move_ratio,sd_03,sd_05,sd_07,sd_10,sd_20
ABBV,2017-07-28,0.029766,-0.017984107,0.017984107,0.6041828596385137,0.00770576527451248,0.005638246262717822,0.00468780575339996,0.00887663058182322,0.008036308017865033
ABBV,2017-10-27,0.043632,0.026462707,0.026462707,0.6064976851851852,0.019357937007055168,0.0172733686826311,0.014667378422430825,0.013293858431511246,0.010607484202455912
ABBV,2018-01-26,0.03237,0.13767313,0.13767313,4.25310874266296,0.02265331897746076,0.033255845073594324,0.03299137681256015,0.03365089348779045,0.026406654363346535
ABBV,2018-04-26,0.046937,0.06062915,0.06062915,1.2917133604618958,0.03970438366317522,0.03170265823332074,0.026317526306551486,0.022411189869819704,0.017850669657739723
ABC,2016-08-02,0.042679,0.045475801,0.045475801,1.0655310808594392,0.008544249913516159,0.00686086554385145,0.008259807435234754,0.007016671571713887,0.009218090067673657
ABC,2016-11-02,0.05734,0.088408081,0.088408081,1.5418221311475409,0.03500902767468341,0.059351653645832836,0.05263874551884242,0.044982667585335256,0.031987289431151006
ABC,2017-01-31,0.045088,0.043769433,0.043769433,0.9707556999645138,0.012096927757845467,0.008720811066244647,0.007142065382517668,0.008092130226030175,0.006474755728546451
ABC,2017-05-04,0.042393,0.046691666,0.046691666,1.1014003727030406,0.00989116648491887,0.007282059781673736,0.007264649174232524,0.013750705418380057,0.012004165420776501
ABC,2017-08-03,0.037954,-0.104744166,0.104744166,2.7597661906518414,0.004429483909540591,0.004041580036481556,0.008799077718858917,0.007490743680820604,0.010177372211412366
ABC,2017-11-02,0.046854,-0.044244323,0.044244323,0.9443019379348615,0.01195380690953684,0.00895761542175355,0.008081711247577141,0.01384112473753114,0.014705540236886734
ABC,2018-02-06,0.049563,-0.003917301,0.003917301,0.07903680164638943,0.03255014989751501,0.04993460938856725,0.04212158362172642,0.035521542821662616,0.028013921460453915
ABC,2018-05-02,0.043333000000000003,0.033408072,0.033408072,0.7709614381649088,0.043319059937790984,0.034105989100917194,0.03127144289704407,0.02635987827566602,0.022018992344654986
ABCB,2016-07-22,0.027572,0.047572178,0.047572178,1.7253800232119543,0.0035424683705408194,0.014030821404329097,0.013264336495072934,0.01263543316415048,0.01094674620767252
ABCB,2016-10-17,0.038778,5.58971e-4,5.58971e-4,0.014414642322966631,0.007017934279027882,0.007997071950783039,0.006957674554938484,0.006719184361213407,0.02066774077722403
ABCB,2017-01-20,0.036736,0.022485207,0.022485207,0.6120755389808363,0.01808918858671402,0.020302890206548973,0.017702634524142842,0.01776045451157405,0.014802954273353512
ABCB,2017-04-21,0.047846,0.012021858,0.012021858,0.25126150566400535,0.017758553035647554,0.02632059921168466,0.022291834842062062,0.01831437274723307,0.019285534666187848
ABCB,2017-07-21,0.039828,-0.004241782,0.004241782,0.10650251079642463,0.01683371115622568,0.013041192778938088,0.013356143269277835,0.013691994984558536,0.017493971784593054
ABCB,2017-10-19,0.020282,-0.027300303,0.027300303,1.3460360418104724,0.007302037501854186,0.0075529651871747506,0.010566443349428838,0.010408947531737139,0.011444279351794982
ABCB,2018-01-26,0.037191,0.026192703,0.026192703,0.7042753085423893,0.01566815095452182,0.01574055644166064,0.02106137459389322,0.019913861726181665,0.01639251650860607
ABCB,2018-04-20,0.021347,-0.009487666,0.009487666,0.44444961821333206,0.004393090791455859,0.004243226345882564,0.007556783330725741,0.009534205341731565,0.009059091065622093
ABDC,2016-08-05,0.013574,0.005718954,0.005718954,0.42131678208339474,4.6863567970915844e-4,0.0027429976258750576,0.0022745994089272024,0.0030218553651485025,0.0027481261954650474
ABDC,2016-11-04,0.016634,-0.01394268,0.01394268,0.8382036792112542,0.04099648709874168,0.02924787645362726,0.028958010386061932,0.027957875769924177,0.02178231714659037
ABDC,2017-03-10,0.031504,0.026128266,0.026128266,0.8293634459116304,0.029361229437801954,0.02150316363971964,0.019152335165712676,0.018412218011868563,0.015713927654977224
ABDC,2017-05-05,0.030317,0.025125628,0.025125628,0.8287636639509186,0.017137673539432192,0.013936150235346279,0.014004819631430234,0.015177552171380487,0.010973329842034337
ABDC,2017-08-04,0.04125,-0.029035013,0.029035013,0.703879103030303,0.032896018221793916,0.041266499925419184,0.040258632031189005,0.033409431157993295,0.026414342456118237
ABDC,2017-11-07,0.055728,-0.043778802,0.043778802,0.7855799956933678,0.045247125999921534,0.03570993917158552,0.04003317865360173,0.04153415669258496,0.031206907322315916
ABDC,2018-03-15,0.05,-0.196658098,0.196658098,3.93316196,0.007591703374201155,0.048330823493612715,0.039741879296453723,0.03562142357298017,0.02867424524167566
ABDC,2018-05-08,0.063918,0.012539185,0.012539185,0.19617611627397602,0.012580768304192176,0.019714222392559898,0.01842452890142499,0.02374945559858413,0.019575896737616193
ABEO,2016-03-08,0.08277,-0.067375887,0.067375887,0.8140133744110185,0.009196014710681827,0.03451162960046608,0.03352778091894208,0.03009518750285857,0.05087094614454819
ABEO,2016-11-10,0.053682,-0.016393443,0.016393443,0.30538063037889795,0.08757874237523477,0.07388882814926279,0.0635053700140584,0.056576380608340804,0.05226560657539067
ABEV,2016-07-29,0.015046,-0.015332198,0.015332198,1.0190215339625148,0.0060626588980146785,0.016461256685509778,0.013579686944898762,0.013084323765840023,0.013118053790633188
ABEV,2016-10-28,0.023642,-0.037337662,0.037337662,1.579293714575755,0.016654221167737532,0.012816535410588114,0.020902890193250048,0.021709818505567212,0.023961216387330685
ABEV,2017-03-02,0.024963,-0.057391304,0.057391304,2.2990547610463485,0.02118119328025352,0.015351115068143645,0.014335607920711022,0.01790492113698674,0.016509312670158822
ABEV,2017-05-04,0.039453,0.017123288,0.017123288,0.43401738777786225,0.008975288435318102,0.011851425800388551,0.010525946917842949,0.04076019382789377,0.02992989990482318
ABEV,2017-07-27,0.042901,0.015151515,0.015151515,0.3531739353395026,9.409840969808783e-4,0.006971292658133729,0.006640526384193961,0.007418601493419597,0.008609503454990052
ABEV,2017-10-26,0.03205,-0.024691358,0.024691358,0.7704011856474259,0.009242719335322173,0.00718412897112383,0.010228634411490693,0.010869383702607562,0.01040532314469295
ABEV,2018-03-01,0.036665,0.008888889,0.008888889,0.24243526523932904,0.013957661787665344,0.011695629369985843,0.011049337638589276,0.014944258725515362,0.014365846469375295
ABEV,2018-05-09,0.02497,-0.03514377,0.03514377,1.4074397276732078,0.012899299224219443,0.011974501256735362,0.012935461974769044,0.013186848140104169,0.017973802138468248
ABG,2016-07-26,0.036875,0.008701363,0.008701363,0.23596916610169494,0.02761909870366556,0.032382567082380694,0.028190972111896098,0.0288101184373279,0.023735562884061475
ABG,2016-10-25,0.048587,-0.067717996,0.067717996,1.3937472163335873,0.00847702859215818,0.012223713640071547,0.01123449887231634,0.012152796041697195,0.02163774767766369
ABG,2017-02-07,0.050318,0.036805012,0.036805012,0.7314482292618943,0.005033755619521732,0.00681903913163313,0.016319222845965504,0.018450120788377374,0.019043065509869214
ABG,2017-04-27,0.050736,0.008716323,0.008716323,0.17179759933774832,0.03337391703748369,0.029108322090620233,0.02800433907607219,0.02329714818751193,0.020223024976275143
ABG,2017-07-25,0.06381,-0.058098592,0.058098592,0.9104935276602413,0.01104372013646313,0.01637288627505617,0.016134419217094166,0.01623260272632081,0.013661619202876438
